Duke Class Name,Duke Class Code,Duke Description,Cornell Class Name,Cornell Class Code,Top 5,Similarities
Russian Language and Culture through Film,CINE 284S,"Study of Russian cultural paradigms and constructs of self and other as demonstrated in Russia and Soviet films, primarily from 1960s to the present. Special attention given to the analysis of linguistic constructs and their cultural semantic content as well as comparative analyses of Soviet and Russian culture and Russian and European/American culture. Film and computer technology, as well as access to these technologies and their implementation, are a central part of the cultural context.",Elementary Russian Through Film,RUSSA 1121,"['arch5402', 'hist2981', 'asian2281', 'phil3340', 'math3850']","[0.8160306, 0.8080375, 0.80772436, 0.8076701, 0.8075948]"
Roman Art and Archaeology,CLST 308,"Roman artistic legacy shaped Western art in profound ways. Artistic innovations: realistic portraiture, trompe l'oeil wall painting; architectural innovations: amphitheater, circus, multi-seat latrine, steam-heated bath. Explore Roman art and architecture throughout Mediterranean from late Republic to early fourth century AD. Emphasis on social and cultural contexts. Study major technical and aesthetic innovations, and impact of Roman emperors as art patrons. Class lectures and readings arranged both chronologically and thematically, with case studies of archaeology of Pompeii, Athens, Aphrodisias in Turkey.",Great Discoveries in Greek and Roman Archaeology,ARKEO 1702,"['gerst6230', 'gerst3550', 'govt3705', 'coml3300', 'pma3490']","[0.86254627, 0.8606133, 0.8605613, 0.8605019, 0.8602999]"
Introduction to Cultural Anthropology,CULANTH 101,Theoretical approaches to analyzing cultural beliefs and practices cross-culturally; application of specific approaches to case material from present and/or past cultures.,Culture and Mental Health: Anthropological Perspectives,ANTHR 2424,"['arch5402', 'fsad6025', 'lsp3250', 'fsad4025', 'comm3250']","[0.7646302, 0.7574915, 0.75743794, 0.757431, 0.7573811]"
Dance Composition,DANCE 105S,"The basic elements of movement (time, space, weight, flow) and their choreographic applications explored through structured improvisation, short movement studies, viewing of videotaped dances, and selected readings. Experimentation with devices for movement manipulation and choreographic forms through longer movement studies.", Beginning Dance Composition,PMA 2300,"['amst3214', 'pma3214', 'arch5402', 'amst3525', 'engl3525']","[0.81115687, 0.8107509, 0.80492425, 0.8024173, 0.802031]"
Introduction to Embedded Systems,ECE 459,"An introduction to hardware/software codesign of embedded computer systems. Structured programming techniques for high and low level programs. Hardware interfacing strategies for sensors, actuators, and displays. Detailed study of Motorola 68HC11 and 68HC12 microcomputers as applied to embedded system development. Hardware and simulation laboratory exercises with 68HC11 and 68HC12 development boards. Major design project.",Design with Embedded Operating Systems,ECE 5725,"['ece5740', 'mse5410', 'ece4360', 'cs4420', 'ece4750']","[0.8478228, 0.84542704, 0.84352213, 0.84213513, 0.84111327]"
Financial Accounting,ECON 174,Introductory course in financial accounting. How and why information is created and communicated. Purposes of financial accounting. Bookkeeping for basic business transactions that map into the statements. Analyze corporate reports. Interpret key financial information. Course is designed for students with little or no background in accounting,Financial Accounting,AEM 2210,"['aem3100', 'pubpol5690', 'aem2050', 'real6200', 'pubpol5700']","[0.85802734, 0.85681546, 0.8565428, 0.8561505, 0.85573006]"
Econometrics and Data Science,ECON 204D,"This course develops critical-thinking skills necessary to analyze and interpret real world data using modern data science and econometric methods. Students learn to be consumers and producers of empirical research in the sciences. Develop sophisticated understanding of both theoretical underpinnings and challenges in implementation of empirical methods to effectively evaluate quality of evidence and validity of causal inferences. Applications are primarily drawn from economic studies of individuals, firms and markets. ",Introduction to Econometrics,AEM 4110,"['pubpol5690', 'comm5150', 'math3850', 'comm3150', 'phil3340']","[0.80662227, 0.80374575, 0.8015617, 0.8013743, 0.80083567]"
Health Economics,ECON 334,"Economic aspects of the production, distribution, and organization of health care services, such as measuring output, structure of markets, demand for services, pricing of services, cost of care, financing, mechanisms, and their impact on the relevant markets.",The Economics of Health Care Markets,ECON 3720,"['pubpol2350', 'aem7040', 'gdev6070', 'soc6050', 'pubpol6050']","[0.75235486, 0.7488534, 0.72918916, 0.7281388, 0.72773194]"
Behavioral Economics,ECON 462,"Introduction to the insights gained from incorporating psychology into economic modeling. Based exclusively on original, often recent, scientific publications. Focus on empirical evidence, theoretical models and economic implications. Equilibrium analysis is essential analytical tool. Participants will each give a presentation of a scientific paper from the reading list",Behavioral Economics,ECON 4660,"['pubpol5690', 'aem3100', 'comm5150', 'arch5402', 'ilrob3270']","[0.8399271, 0.83655155, 0.83466977, 0.8334257, 0.83260715]"
Introduction to Creative Writing,ENGLISH 110S,A multi-genre course designed for students who have little or no previous experience producing imaginative literary texts.,Creative Writing,ENGL 2800,"['shum2241', 'coml2241', 'amst3525', 'engl3525', 'arch5402']","[0.75872636, 0.75849605, 0.7546619, 0.7543186, 0.75384605]"
Global Warming,EOS 355,"Broad, interdisciplinary course on the observations, causes, and consequences of climate change. Course will cover modern and paleoclimate observations, human and natural drivers, and links between drivers and responses. Building on this physical science base, course will then analyze how socioeconomic choices affect future climate as well as the factors influencing those choices, including risk analyses, geoengineering proposals, climate metrics and the media.",Climate and Energy: a 21st Century Earth Science Perspective,EAS 1101,"['arch5402', 'aem7040', 'gdev6070', 'pubpol6050', 'gdev1102']","[0.83349824, 0.83056587, 0.8273014, 0.8265195, 0.82637733]"
Elementary French 1,FRENCH 101,"The course offers an introduction to the French language, and aspects of French and Francophone cultures via interactive content and classes. Students build a strong foundation to communicate and exchange with French speakers in varied social interactions, comprehend short, authentic materials, and share opinions on personal and societal topics. Equal attention to speaking, listening comprehension, reading, and writing. Conducted in French. ",Elementary French,FREN 1210,"['comm5150', 'psych4210', 'span1250', 'hd4210', 'turk1330']","[0.80052936, 0.7986603, 0.7979359, 0.7974657, 0.79737675]"
Reading Literature in French,FRENCH 306S,"What is literature? Why read literature today? And how do we talk about what we read? This seminar offers an initiation to literature in French from the Enlightenment to the digital age. It introduces a wide range of critical and theoretical tools to study literature and its uses, and aims at developing writing and argumentation across a range of literary genres (theater, essay, novel, poetry...). This seminar explores how most urgent political and philosophical issues of the ages can be read through and unraveled within literary texts. Authors studied may include Montesquieu, Diderot, Balzac, Baudelaire, Flaubert, Sartre, Césaire, Michaux, Duras, Fanon, Perec, and Modiano.",Introduction to French and Francophone Literature and Culture,FREN 2310,"['amst3525', 'engl3525', 'coml3300', 'gerst3550', 'pma3490']","[0.8464456, 0.84461343, 0.8411117, 0.8410406, 0.84093]"
Fundamentals of Global Health,GLHLTH 101,"Introduction to global health issues and challenges. Develop an understanding of key concepts, tools, and frameworks essential for continued study in global health. Focus on global disease burden, health determinants and disparities, health policy and actors, and challenges of global health interventions. Explore the importance of understanding and addressing global health through multidisciplinary frameworks of the natural sciences, social-behavioral sciences, humanities, and policy.",Global Health Case Studies from Weill Cornell Medicine,NS 3090,"['gdev4140', 'plscs4140', 'aem7040', 'fsad6025', 'fsad4025']","[0.78076345, 0.7798279, 0.77874124, 0.77838945, 0.778335]"
Elementary Greek,GREEK 101,"Structure of the Greek language (grammatical forms, syntax, vocabulary, and pronunciation); introduction to reading.",Elementary Ancient Greek I,GREEK 1101,"['phil3340', 'math3850', 'cs6740', 'asl4410', 'ling4406']","[0.7384114, 0.73836935, 0.733348, 0.72388166, 0.72359246]"
Greek Philosophy,GREEK 308S,"Philosophy. Investigation into key trends, themes, developments in Greek Philosophy, especially moral and political, through readings from the Pre-Socratic philosophers, Plato, Aristotle, Epicurus, and/or others.",Greek Philosophical Texts,PHIL 7161,"['coml6661', 'jwst6780', 'arth6780', 'govt6785', 'gerst6780']","[0.77037394, 0.76893604, 0.76882255, 0.76859844, 0.76839507]"
Introduction to LGBTQ Studies,GSF 202S,"Topics include homosexuality and theory, history, law, religion, education, the arts and literature, the military, and the health sciences.",Worlding Sex and Gender,LGBT 2421,"['yorub1108', 'shum2241', 'coml2241', 'aem7040', 'amst3525']","[0.7335262, 0.7268132, 0.7261157, 0.7241194, 0.72169673]"
Elementary Modern Hebrew,HEBREW 102,"Speaking, understanding, reading, and writing Modern Hebrew at the intermediate level; exploring Israeli culture through texts and other media.",Elementary Modern Hebrew I,HEBR1101,"['yorub1108', 'amst3525', 'engl3525', 'psych4210', 'hd4210']","[0.71768737, 0.7152417, 0.7128798, 0.7075274, 0.7065681]"
The Modern Caribbean after Emancipation,HISTORY 321,"Focus on the Caribbean region as it transitioned from a collection of slave and colonial societies into a region of postcolonial and independent nations. Topics may include: postemancipation political and cultural struggles, pan-Africanism and Rastafarianism, nationalist and anticolonial movements, American economic and political influence in the region, Caribbean emigration to Europe and the United States, and global spread of Caribbean culture.","Pirates, Slaves, and Revolutionaries: A History of the Caribbean from Columbus to Louverture",LATA 1970,"['engl3525', 'amst3525', 'asrc2003', 'coml3300', 'gerst3550']","[0.7969601, 0.79496557, 0.79250664, 0.79006034, 0.789708]"
Roman History,HISTORY 233,"From the founding of Rome by Romulus to the founding of Constantinople by Constantine: social, cultural, and political history. ",Roman History,HIST 2689,"['coml6661', 'jwst6780', 'arth6780', 'govt6785', 'gerst6780']","[0.69525236, 0.69433653, 0.6935182, 0.69308436, 0.69298095]"
The Viking Age,HIST 2689,"The history of Viking raiding, trading, exploration, and settlement, with attention to the socioeconomic structure, political organization, and naval technology of medieval Scandinavian societies. Focus on topics such as Norse mythology, ritual, and runes, Icelandic sagas, gender roles and social hierarchies in a warrior society, clan-based justice, and the collision between 'heroic' values and the new Christian ethic. Taught in English.",The Vikings and their World,HIST 1660,"['hist2981', 'fgss2281', 'asian2281', 'caps2281', 'arch5402']","[0.81013834, 0.8083586, 0.8079283, 0.8073134, 0.80288965]"
Italian Cinema,ITALIAN 380,"Introduction course to Italian cinema including silent films, Neorealism, fascist productions, Commedia all'italiana and experimentalism. Taught in English.",Art History: Italian Cinema,ART 3803,"['govt3705', 'coml3300', 'pma3490', 'gerst3550', 'gerst6230']","[0.80245167, 0.8014739, 0.80137116, 0.8006709, 0.7830987]"
Italian Baroque Art,ITALIAN 256,"This course will trace the development of the Italian baroque in architecture, sculpture and painting. It will consider a variety of themes relevant to Baroque artistic production, including religious influences on the art of the period, namely the Reformation and the Catholic Counter Reformation; economic influences; central versus peripheral locations; issues of gender and sexuality; patronage; architectural site and meaning; urban planning and transformation; the artist, his workshop and rivalries; decoding the myths of artistic genius; and seventeenth-century primary sources.","Urban Design, Architecture, and Art in Renaissance and Baroque Rome",ARCH 3823,"['coml6661', 'govt6785', 'jwst6780', 'arth6780', 'gerst6780']","[0.81064224, 0.81003654, 0.80986136, 0.80978966, 0.80970716]"
Judaism,JEWISHST 140,Introduction to Judaic civilization from its origins to modern times.,Introduction to Judaism,JWST 2644,"['shum2245', 'anthr2245', 'arkeo2245', 'jwst2754', 'bsoc2245']","[0.7025394, 0.7024274, 0.7023519, 0.70230836, 0.7022918]"
Intermediate Japanese,JPN 203,"Continued development of the four language skills: listening, speaking, reading and writing. Cultural component emphasized through short readings.",Intermediate Japanese I,JAPAN 2201,"['lsp1250', 'span1250', 'fren2092', 'port1210', 'ling4406']","[0.7870369, 0.78634685, 0.78630483, 0.78529125, 0.785069]"
Introduction to Linguistics,LINGUIST 201,"Introduction to the scientific study of linguistics and languages. Topics include the origin and nature of language, methods of historical and comparative linguistics, theories and schools of linguistics, empirical and descriptive approaches to the study of language, including phonology, morphology, semantics, and syntax.",Introduction to Linguistics,LING 1105,"['phil3340', 'math3850', 'cs6740', 'asl4410', 'ling4406']","[0.76945585, 0.76917624, 0.75225055, 0.7480259, 0.74698144]"
Introduction to African American Studies,LIT 102,"A range of disciplinary perspectives on key topics in African American Studies: slavery and abolitionism, theories of race and racism, gender and race, the era of Jim Crow, cultural expressions, political and intellectual thought, African American freedom struggles from the seventeenth through the twentieth centuries, and race and public policy.",African American History From 1865,AMST 1595,"['amst3525', 'engl3525', 'hist2981', 'fgss2281', 'asian2281']","[0.7650508, 0.76445717, 0.756304, 0.755047, 0.7550261]"
The Art of Proof,MATH 185,"This course is an introduction to mathematical proofs as a creative endeavor. The intended audience of this course are students who would not normally take Math 245. Students in the arts, humanities, life sciences, and social sciences are encouraged to enroll. Students will learn problem solving, abstraction, symbolic logic; proof by construction, induction, contradiction; and basic set theory, number theory, and combinatorics. The course will be highly interactive, with emphasis placed on group learning. Students will practice communicating mathematical and logical arguments in both written (using LaTeX) and oral (via board talk) forms.",Prove It!,MATH 3040,"['math3850', 'phil3340', 'aep5380', 'cs6740', 'cs4860']","[0.856056, 0.8554851, 0.849087, 0.84579235, 0.84424603]"
Multivariable Calculus,MATH 212,"Partial differentiation, multiple integrals, and topics in differential and integral vector calculus, including Green's theorem, the divergence theorem, and Stokes's theorem. Taught in Beaufort at Duke Marine Lab.",Multivariable Calculus,MATH 2220,"['math6150', 'math3270', 'aep5200', 'cheme6110', 'aep4200']","[0.76234436, 0.7545593, 0.74741113, 0.7432705, 0.7427319]"
Complex Analysis,MATH 333,"Complex numbers, analytic functions, complex integration, Taylor and Laurent series, theory of residues, argument and maximum principles, conformal mapping. ",Applied Complex Analysis,MATH 4220,"['math6150', 'math3270', 'cheme6110', 'aep5380', 'math3850']","[0.75761044, 0.7476342, 0.735276, 0.7320144, 0.7289776]"
Introduction to Abstract Algebra, MATH 401,"Groups, rings, and fields.",Abstract Algebra,MATH 3340,"['aep5380', 'math3270', 'aep5200', 'math6150', 'aep4200']","[0.56653845, 0.56309795, 0.5618166, 0.5577135, 0.553625]"
Advanced Linear Algebra,MATH 403,"Topics in linear algebra beyond those in a first course. For example: principal component analysis and other decompositions (singular value, Cholesky, etc.); Perron-Frobenius theory; positive semi-definite matrices; linear programming and more general convexity and optimization; basic simplicial topology; Gerschgorin theory; classical matrix groups. Applications to computer science, statistics, image processing, economics, or other fields of mathematics and science. ",Linear Algebra,MATH 4310,"['math6150', 'math3270', 'aep5380', 'cheme6110', 'aep5200']","[0.79524523, 0.7924393, 0.7907137, 0.7795683, 0.7763885]"
Introduction to Partial Differential Equations,MATH 453,"Heat, wave, and potential equations: scientific context, derivation, techniques of solution, and qualitative properties. Topics to include Fourier series and transforms, eigenvalue problems, maximum principles, Green's functions, and characteristics. ",Partial Differential Equations,MATH 6150,"['math6150', 'math3270', 'cheme6110', 'aep5380', 'aep5200']","[0.80652165, 0.791481, 0.78654784, 0.7849697, 0.77967453]"
Introduction to Philosophy,PHIL 101,Examination of problems in philosophy; emphasis on metaphysics and theory of knowledge.,Introduction to Philosophy,PHIL 1100,"['phil3340', 'math3850', 'coml6661', 'jwst6780', 'govt6785']","[0.7144192, 0.71424586, 0.7005773, 0.69918656, 0.69904315]"
"Introductory Electricity, Magnetism, and Optics",PHYSICS 152L,"Intended principally for students in engineering and the physical sciences. Topics include: electric charge, electric fields, Gauss's Law, potential, capacitance, electrical current, resistance, circuit concepts, magnetic fields, magnetic and electric forces, Ampere's Law, magnetic induction, Faraday's Law, inductance, Maxwell's Equations, electromagnetic waves, elementary geometric optics, wave interference, and diffraction.",Physics II: Electricity and Magnetism,PHYS 2217,"['math6150', 'phys2214', 'ece4060', 'ece5330', 'math3270']","[0.7720356, 0.76911664, 0.7672924, 0.7627808, 0.76224893]"
Developmental Psychology: Introduction and Survey,PSY 103,"Overview of the cognitive, social, and emotional changes that occur throughout the lifespan, with emphasis on the period from infancy to adolescence. Examines both the empirical evidence (data collection and analysis) and the theoretical models (constructs using inductive-deductive reasoning) used in understanding human psychological development.",Developmental Psychopathology,PSYCH 3310,"['math3850', 'phil3340', 'pubpol5690', 'gdev1102', 'econ7260']","[0.78609467, 0.78547055, 0.7839181, 0.78147876, 0.77980113]"
Social Inequality,SOCIOL 211,"The nature, forms, and socioeconomic bases of inequality. Age, gender, race, ethnicity, class, region, and family as dimensions of inequality. Variations in the structure of inequality over time and across nations. How educational institutions, economic development, work institutions, and state welfare programs affect the shape of inequality. Social inequality and social mobility.","Social Inequality: Contemporary Theories, Debates, and Models",SOC 5180,"['lsp3250', 'comm3250', 'aem7040', 'gdev1102', 'ilrob5290']","[0.7639495, 0.7638303, 0.7620672, 0.75881183, 0.75577366]"
